Team,Position,Shirt number,Name,Minutes played,Games played,Full games played,Games started,Games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
CD Leganés,Defender,15,R. Tarín,1.429,18,13,15,5,3,0,0,0,0,0,16,5,31,61,73,14,8,0,30,18,23,24,0,7,15,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,8,0,22,95,48,47,468,369,99,0,0
CD Leganés,Defender,19,Muñoz,211,3,1,2,2,0,0,0,0,0,0,6,1,1,9,10,2,1,0,3,2,4,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,5,9,115,89,26,0,0
CD Leganés,Defender,22,Siovas,2.963,34,31,34,3,5,0,0,1,0,0,38,15,65,221,151,32,25,1,77,67,104,37,2,10,30,0,0,0,6,17,3,0,12,7,1,0,0,0,0,1,0,0,11,0,57,285,144,141,1.35,1.017,332,1,1
CD Leganés,Defender,24,K. Omeruo,2.434,28,25,27,3,7,0,0,0,0,0,27,11,37,134,156,27,22,0,67,30,54,31,1,11,17,0,2,1,10,2,1,0,8,1,0,0,0,0,0,0,0,0,2,0,49,182,97,85,963,744,219,0,0
CD Leganés,Midfielder,,Óscar,2.515,31,16,29,15,5,0,0,4,0,0,25,2,17,138,13,25,21,0,108,147,22,47,4,27,31,1,0,2,9,46,22,3,35,43,4,0,2,1,0,1,0,0,73,73,46,324,255,69,950,842,106,2,2
CD Leganés,Midfielder,6,Gumbau,1.196,16,12,13,4,4,1,1,1,1,0,19,2,13,61,12,16,6,0,37,51,15,16,0,11,28,0,0,0,18,13,6,1,4,0,1,0,1,0,1,0,0,0,26,12,22,119,88,31,399,334,65,0,1
CD Leganés,Midfielder,8,Recio,1.287,18,10,15,8,9,0,0,0,0,0,16,2,14,93,13,21,9,0,64,74,28,14,0,27,46,0,0,1,27,8,4,0,10,5,0,0,0,0,0,0,0,0,9,0,30,180,138,42,651,597,53,1,0
CD Leganés,Midfielder,10,El Zhar,954,27,3,9,24,0,0,0,4,1,0,15,0,4,53,1,4,4,0,45,63,7,19,2,11,17,0,0,0,0,18,9,0,26,18,3,1,0,3,1,1,0,0,34,5,8,134,108,26,258,238,19,1,3
CD Leganés,Midfielder,11,Szymanowski,9,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,5,5,0,0,0
CD Leganés,Midfielder,17,Eraso,635,13,1,9,12,2,0,0,0,0,0,12,1,7,31,3,3,3,0,19,38,9,14,1,11,16,1,0,1,5,3,2,0,3,4,0,0,0,0,0,0,0,0,8,15,6,80,57,23,208,200,7,1,0
